Name,Club,Age,Overall,Potential,Value,Wage,Attack Score,Efficiency,Value Efficiency,Player Level,Predicted Overall
Fábio Henrique Tavares,Liverpool,28,87,88,77000000.0,185000.0,71.33333333333333,0.9886363636363636,1.1298701298701298e-06,Elite,87.31667591789966
Hugo Lloris,Tottenham Hotspur,35,87,87,9000000.0,80000.0,25.0,1.0,9.666666666666668e-06,Elite,86.07589436158602
Thomas Müller,FC Bayern München,32,87,87,63000000.0,115000.0,87.33333333333333,1.0,1.380952380952381e-06,Elite,86.49408148471693
David De Gea Quintana,Manchester United,31,87,87,42000000.0,150000.0,27.33333333333333,1.0,2.0714285714285717e-06,Elite,86.83332245051983
Marco Verratti,Paris Saint-Germain,29,87,87,77500000.0,155000.0,66.0,1.0,1.1225806451612904e-06,Elite,86.96373193553976
Mike Maignan,AC Milan,26,87,90,80000000.0,90000.0,31.33333333333333,0.9666666666666668,1.0875e-06,Elite,86.89182193269554
Trent Alexander-Arnold,Liverpool,23,87,90,100500000.0,150000.0,74.0,0.9666666666666668,8.656716417910448e-07,Elite,87.44152550405082
Andrew Robertson,Liverpool,28,87,87,72000000.0,185000.0,69.33333333333333,1.0,1.2083333333333331e-06,Elite,87.2079150986832
Kalidou Koulibaly,Chelsea,31,87,87,54500000.0,175000.0,42.333333333333336,1.0,1.5963302752293578e-06,Elite,87.05541880937196
Leon Goretzka,FC Bayern München,27,87,88,91000000.0,115000.0,84.0,0.9886363636363636,9.56043956043956e-07,Elite,86.78166618975249
Frenkie de Jong,FC Barcelona,25,87,92,116500000.0,230000.0,72.33333333333333,0.9456521739130436,7.467811158798284e-07,Elite,88.43345157272844
Thiago Alcântara,Liverpool,31,86,86,55500000.0,180000.0,72.66666666666667,1.0,1.5495495495495497e-06,Elite,86.13490723713355
Ciro Immobile,Lazio,32,86,86,55000000.0,100000.0,89.0,1.0,1.5636363636363636e-06,Elite,85.42628040436372
Romelu Lukaku,Inter,29,86,86,68000000.0,200000.0,87.0,1.0,1.2647058823529412e-06,Elite,86.35539696175536
David Alaba,Real Madrid CF,30,86,86,55500000.0,220000.0,72.66666666666667,1.0,1.5495495495495497e-06,Elite,86.48475407530034
Raheem Sterling,Chelsea,27,86,86,72500000.0,195000.0,83.66666666666667,1.0,1.1862068965517242e-06,Elite,86.37253402828318
Riyad Mahrez,Manchester City,31,86,86,56500000.0,220000.0,83.66666666666667,1.0,1.5221238938053098e-06,Elite,86.4506964899231
Paulo Dybala,Roma,28,86,86,69500000.0,130000.0,83.0,1.0,1.237410071942446e-06,Elite,85.80759444629254
Thiago Emiliano da Silva,Chelsea,37,86,86,12000000.0,115000.0,56.66666666666666,1.0,7.166666666666667e-06,Elite,85.36888362175128
Wojciech Szczęsny,Juventus,32,86,86,33500000.0,125000.0,27.0,1.0,2.5671641791044776e-06,Elite,85.66523954501835
Kevin Trapp,Eintracht Frankfurt,31,86,86,36000000.0,43000.0,28.0,1.0,2.3888888888888887e-06,Elite,85.01331822447284
Bruno Miguel Borges Fernandes,Manchester United,27,86,86,72500000.0,190000.0,85.66666666666667,1.0,1.1862068965517242e-06,Elite,86.32795441064425
Daniel Parejo Muñoz,Villarreal CF,33,86,86,42000000.0,64000.0,81.66666666666667,1.0,2.0476190476190475e-06,Elite,85.07986919431161
Aymeric Laporte,Manchester City,28,86,87,64500000.0,195000.0,55.66666666666666,0.9885057471264368,1.3333333333333334e-06,Elite,86.4599229641
Kingsley Coman,FC Bayern München,26,86,87,80000000.0,105000.0,81.0,0.9885057471264368,1.075e-06,Elite,85.76309102358337
Marcelo Brozović,Inter,29,86,86,58000000.0,110000.0,72.0,1.0,1.4827586206896551e-06,Elite,85.604176829697
Nicolò Barella,Inter,25,86,89,89500000.0,110000.0,77.0,0.9662921348314608,9.608938547486034e-07,Elite,86.08973611668839
Lautaro Martínez,Inter,24,86,90,98500000.0,110000.0,84.66666666666667,0.9555555555555556,8.730964467005077e-07,Elite,86.26657974034865
Milan Škriniar,Inter,27,86,87,68500000.0,105000.0,40.66666666666666,0.9885057471264368,1.2554744525547445e-06,Elite,85.77279384018851
Christopher Nkunku,RB Leipzig,24,86,89,94000000.0,90000.0,83.66666666666667,0.9662921348314608,9.148936170212766e-07,Elite,85.9472975932645
Édouard Mendy,Chelsea,30,86,87,51000000.0,130000.0,24.0,0.9885057471264368,1.6862745098039215e-06,Elite,85.8926588857079
Vinícius José de Oliveira Júnior,Real Madrid CF,21,86,92,109000000.0,200000.0,80.66666666666667,0.9347826086956522,7.889908256880734e-07,Elite,87.44133056884826
Sergej Milinković-Savić,Lazio,27,86,87,77500000.0,90000.0,82.33333333333333,0.9885057471264368,1.1096774193548387e-06,Elite,85.60965736682974
Niklas Süle,Borussia Dortmund,26,85,87,59000000.0,72000.0,50.0,0.9770114942528736,1.440677966101695e-06,Elite,84.64486948805421
Nabil Fekir,Real Betis Balompié,28,85,85,54500000.0,48000.0,83.0,1.0,1.5596330275229358e-06,Elite,84.16647553892804
Serge Gnabry,FC Bayern München,26,85,85,59000000.0,100000.0,86.33333333333333,1.0,1.440677966101695e-06,Elite,84.64375003563637
İlkay Gündoğan,Manchester City,31,85,85,44000000.0,185000.0,81.0,1.0,1.931818181818182e-06,Elite,85.21030336824074
Kyle Walker,Manchester City,32,85,85,37500000.0,170000.0,68.33333333333333,1.0,2.266666666666667e-06,Elite,85.0669143168706
Pierre-Emerick Aubameyang,Chelsea,33,85,85,34500000.0,180000.0,85.66666666666667,1.0,2.463768115942029e-06,Elite,85.09236458351288
Jordi Alba Ramos,FC Barcelona,33,85,85,28000000.0,190000.0,73.33333333333333,1.0,3.0357142857142856e-06,Elite,85.17432778872026
Sergio Busquets Burgos,FC Barcelona,33,85,85,26500000.0,190000.0,68.0,1.0,3.207547169811321e-06,Elite,85.17823046090564
Iago Aspas Juncal,RC Celta de Vigo,34,85,85,26000000.0,50000.0,85.0,1.0,3.269230769230769e-06,Elite,83.9727128631115
Paul Pogba,Juventus,29,85,85,52500000.0,165000.0,80.33333333333333,1.0,1.619047619047619e-06,Elite,85.11193357111725
Memphis Depay,FC Barcelona,28,85,85,55000000.0,230000.0,85.33333333333333,1.0,1.5454545454545454e-06,Elite,85.66820473162036
Luiz Frello Filho Jorge,Chelsea,30,85,85,51500000.0,165000.0,68.0,1.0,1.650485436893204e-06,Elite,85.10954354108182
Marcos Acuña,Sevilla FC,30,85,85,46500000.0,46000.0,76.33333333333333,1.0,1.827956989247312e-06,Elite,84.0966132755157
Gerard Moreno Balagueró,Villarreal CF,30,85,85,53000000.0,64000.0,85.66666666666667,1.0,1.6037735849056604e-06,Elite,84.2509189246947
Yannick Carrasco,Atlético de Madrid,28,85,85,54500000.0,90000.0,82.66666666666667,1.0,1.5596330275229358e-06,Elite,84.51408156217852
Filip Kostić,Juventus,29,85,85,53000000.0,165000.0,80.33333333333333,1.0,1.6037735849056604e-06,Elite,85.11353284394252
Jamie Vardy,Leicester City,35,85,85,23000000.0,110000.0,89.0,1.0,3.695652173913044e-06,Elite,84.43308369281655
Pedro González López,FC Barcelona,19,85,93,116000000.0,115000.0,70.33333333333333,0.913978494623656,7.327586206896552e-07,Elite,86.23202357463711
Phil Foden,Manchester City,22,85,92,109500000.0,180000.0,81.0,0.9239130434782608,7.762557077625571e-07,Elite,86.47392568825146
Matthijs de Ligt,FC Bayern München,22,85,89,71000000.0,77000.0,58.66666666666666,0.9550561797752808,1.1971830985915492e-06,Elite,85.03540907060588
Patrik Schick,Bayer 04 Leverkusen,26,85,87,67500000.0,95000.0,85.0,0.9770114942528736,1.2592592592592593e-06,Elite,84.80501805086814
Theo Hernández,AC Milan,24,85,90,76000000.0,82000.0,77.33333333333333,0.9444444444444444,1.118421052631579e-06,Elite,85.17389995656887
Diogo José Teixeira da Silva,Liverpool,25,85,89,76000000.0,170000.0,86.66666666666667,0.9550561797752808,1.118421052631579e-06,Elite,85.71628508149232
Péter Gulácsi,RB Leipzig,32,85,85,26500000.0,65000.0,26.0,1.0,3.207547169811321e-06,Elite,84.23313485287755
Yann Sommer,Borussia Mönchengladbach,33,85,85,17500000.0,40000.0,30.0,1.0,4.857142857142857e-06,Elite,83.97192653678275
Marco Reus,Borussia Dortmund,33,85,85,33500000.0,78000.0,84.66666666666667,1.0,2.537313432835821e-06,Elite,84.24793193358548
Lucas Hernández,FC Bayern München,26,84,86,46000000.0,82000.0,59.0,0.9767441860465116,1.8260869565217391e-06,Good,83.7364196865565
Sergio Ramos García,Paris Saint-Germain,36,84,84,7500000.0,75000.0,71.0,1.0,1.12e-05,Good,83.18879747579459
Alejandro Gómez,Sevilla FC,34,84,84,20000000.0,47000.0,78.0,1.0,4.2e-06,Good,83.02460781212224
Samir Handanovič,Inter,37,84,84,4700000.0,46000.0,23.666666666666668,1.0,1.7872340425531915e-05,Good,82.99810881843482
Dries Mertens,Galatasaray SK,35,84,84,18000000.0,86000.0,82.0,1.0,4.666666666666666e-06,Good,83.31464606618579
Luis Suárez,Club Nacional de Football,35,84,84,18000000.0,1000.0,87.66666666666667,1.0,4.666666666666666e-06,Good,82.60301392296171
Dušan Tadić,Ajax,33,84,84,26500000.0,32000.0,82.33333333333333,1.0,3.169811320754717e-06,Good,82.93368977830471
Domenico Berardi,U.S. Sassuolo Calcio,27,84,84,45000000.0,57000.0,82.33333333333333,1.0,1.8666666666666669e-06,Good,83.31531575527887
Thomas Partey,Arsenal,29,84,84,36000000.0,115000.0,74.0,1.0,2.333333333333333e-06,Good,83.74077705323933
Yassine Bounou,Sevilla FC,31,84,84,22500000.0,34000.0,27.0,1.0,3.733333333333333e-06,Good,83.06631269784717
Hakan Çalhanoğlu,Inter,28,84,84,42000000.0,100000.0,79.66666666666667,1.0,2e-06,Good,83.64608462393122
Mateo Kovačić,Chelsea,28,84,84,42000000.0,155000.0,71.0,1.0,2e-06,Good,84.11470919130639
Jack Grealish,Manchester City,26,84,84,46000000.0,185000.0,77.66666666666667,1.0,1.8260869565217391e-06,Good,84.40315210050588
Daniel Carvajal Ramos,Real Madrid CF,30,84,84,36500000.0,185000.0,64.66666666666667,1.0,2.301369863013699e-06,Good,84.31672788665637
Stefan Savić,Atlético de Madrid,31,84,84,29000000.0,74000.0,35.333333333333336,1.0,2.896551724137931e-06,Good,83.40404419704541
Emiliano Martínez,Aston Villa,29,84,84,29000000.0,95000.0,30.0,1.0,2.896551724137931e-06,Good,83.6248985470767
Raphaël Varane,Manchester United,29,84,85,39000000.0,155000.0,51.0,0.9882352941176472,2.1538461538461538e-06,Good,84.18553583898878
Wissam Ben Yedder,AS Monaco,31,84,84,35500000.0,88000.0,86.66666666666667,1.0,2.366197183098592e-06,Good,83.45677993535438
Lorenzo Insigne,Toronto FC,31,84,84,35000000.0,19000.0,77.33333333333333,1.0,2.4e-06,Good,82.90023283694086
Mats Hummels,Borussia Dortmund,33,84,84,20000000.0,66000.0,61.66666666666666,1.0,4.2e-06,Good,83.22756878164697
Stefan de Vrij,Inter,30,84,84,34500000.0,88000.0,40.333333333333336,1.0,2.434782608695652e-06,Good,83.54847827136228
Joel Matip,Liverpool,30,84,84,34500000.0,140000.0,50.0,1.0,2.434782608695652e-06,Good,83.96240474190489
Koen Casteels,VfL Wolfsburg,30,84,85,31500000.0,55000.0,29.666666666666668,0.9882352941176472,2.666666666666667e-06,Good,83.35069866739607
Sergio Canales Madrazo,Real Betis Balompié,31,84,84,35000000.0,42000.0,80.0,1.0,2.4e-06,Good,83.08594048635871
Iker Muniain Goñi,Athletic Club de Bilbao,29,84,84,41500000.0,49000.0,78.0,1.0,2.024096385542169e-06,Good,83.20646016226064
Kieran Trippier,Newcastle United,31,84,84,30500000.0,120000.0,69.66666666666667,1.0,2.7540983606557378e-06,Good,83.73294839638649
Leonardo Bonucci,Juventus,35,84,84,11000000.0,95000.0,54.0,1.0,7.636363636363636e-06,Good,83.41230430315707
Ángel Di María,Juventus,34,84,84,20000000.0,160000.0,80.33333333333333,1.0,4.2e-06,Good,83.9545640477439
Eden Hazard,Real Madrid CF,31,84,84,35000000.0,220000.0,81.0,1.0,2.4e-06,Good,84.55519198197831
Ivan Perišić,Tottenham Hotspur,33,84,84,26500000.0,130000.0,83.0,1.0,3.169811320754717e-06,Good,83.74241411633508
Edin Džeko,Inter,36,84,84,14500000.0,80000.0,87.66666666666667,1.0,5.793103448275862e-06,Good,83.22531519567312
Giorgio Chiellini,Los Angeles FC,37,84,84,7500000.0,11000.0,46.333333333333336,1.0,1.12e-05,Good,82.68086912545934
Rodrigo Javier De Paul,Atlético de Madrid,28,84,84,42000000.0,85000.0,78.0,1.0,2e-06,Good,83.5248527263399
Jude Bellingham,Borussia Dortmund,19,84,91,81500000.0,41000.0,77.33333333333333,0.9230769230769232,1.030674846625767e-06,Good,84.32382977920355
Federico Chiesa,Juventus,24,84,90,66500000.0,140000.0,83.33333333333333,0.9333333333333332,1.2631578947368422e-06,Good,84.81170129821811
Moussa Diaby,Bayer 04 Leverkusen,22,84,88,61500000.0,70000.0,77.33333333333333,0.9545454545454546,1.3658536585365854e-06,Good,83.96435244101599
Jamie Tartt,AFC Richmond,24,84,91,85500000.0,78000.0,86.66666666666667,0.9230769230769232,9.82456140350877e-07,Good,84.53058656689691
Rafael da Conceição Leão,AC Milan,23,84,90,66500000.0,90000.0,80.66666666666667,0.9333333333333332,1.2631578947368422e-06,Good,84.42219357617799
Jules Koundé,FC Barcelona,23,84,89,57500000.0,150000.0,47.333333333333336,0.9438202247191012,1.460869565217391e-06,Good,84.78432887581599
Youri Tielemans,Leicester City,25,84,86,52500000.0,115000.0,80.33333333333333,0.9767441860465116,1.6e-06,Good,84.01441140170965
Sandro Tonali,AC Milan,22,84,90,62500000.0,75000.0,74.33333333333333,0.9333333333333332,1.344e-06,Good,84.31509179435201
Luis Díaz,Liverpool,25,84,87,56000000.0,155000.0,81.66666666666667,0.9655172413793104,1.5e-06,Good,84.45985523847523
Éder Gabriel Militão,Real Madrid CF,24,84,89,57500000.0,160000.0,58.0,0.9438202247191012,1.460869565217391e-06,Good,84.8302503927365
Federico Valverde,Real Madrid CF,23,84,90,66000000.0,175000.0,76.66666666666667,0.9333333333333332,1.2727272727272728e-06,Good,85.12950754324515
Leroy Sané,FC Bayern München,26,84,85,49500000.0,90000.0,82.33333333333333,0.9882352941176472,1.696969696969697e-06,Good,83.68881915546925
Reece James,Chelsea,22,84,88,57000000.0,120000.0,75.33333333333333,0.9545454545454546,1.473684210526316e-06,Good,84.36639100599615
Alessandro Bastoni,Inter,23,84,90,60500000.0,75000.0,38.0,0.9333333333333332,1.3884297520661156e-06,Good,84.34865542664159
Kai Havertz,Chelsea,23,84,91,84500000.0,130000.0,79.0,0.9230769230769232,9.940828402366864e-07,Good,84.98890245547696
João Félix Sequeira,Atlético de Madrid,22,84,90,68500000.0,78000.0,81.33333333333333,0.9333333333333332,1.2262773722627736e-06,Good,84.34765383444713
Achraf Hakimi,Paris Saint-Germain,23,84,87,53500000.0,90000.0,77.66666666666667,0.9655172413793104,1.5700934579439251e-06,Good,83.95988684309012
Alphonso Davies,FC Bayern München,21,84,89,60500000.0,59000.0,71.66666666666667,0.9438202247191012,1.3884297520661156e-06,Good,84.0408830699381
Declan Rice,West Ham United,23,84,87,52000000.0,83000.0,64.33333333333333,0.9655172413793104,1.6153846153846154e-06,Good,83.91899654416997
Mason Mount,Chelsea,23,84,87,57500000.0,130000.0,81.33333333333333,0.9655172413793104,1.460869565217391e-06,Good,84.29723490749052
Jadon Sancho,Manchester United,22,84,88,61500000.0,155000.0,76.33333333333333,0.9545454545454546,1.3658536585365854e-06,Good,84.66837165491148
Fikayo Tomori,AC Milan,24,84,90,60500000.0,75000.0,42.0,0.9333333333333332,1.3884297520661156e-06,Good,84.32281868960669
Franck Yannick Kessié,FC Barcelona,25,84,86,47500000.0,165000.0,77.0,0.9767441860465116,1.768421052631579e-06,Good,84.41702581652982
Mikel Oyarzabal Ugarte,Real Sociedad,25,84,86,53000000.0,57000.0,83.33333333333333,0.9767441860465116,1.5849056603773583e-06,Good,83.5318402183027
Lorenzo Pellegrini,Roma,26,84,87,55000000.0,95000.0,78.66666666666667,0.9655172413793104,1.5272727272727273e-06,Good,83.94643614609097
Wilfred Ndidi,Leicester City,25,84,86,47500000.0,105000.0,64.66666666666667,0.9767441860465116,1.768421052631579e-06,Good,83.94134249749229
Marcos Llorente Moreno,Atlético de Madrid,27,84,85,48000000.0,81000.0,82.66666666666667,0.9882352941176472,1.75e-06,Good,83.58979570673435
Martin Ødegaard,Arsenal,23,84,89,63500000.0,105000.0,76.66666666666667,0.9438202247191012,1.3228346456692914e-06,Good,84.38381504831383
Dušan Vlahović,Juventus,22,84,91,86500000.0,140000.0,86.66666666666667,0.9230769230769232,9.710982658959538e-07,Good,85.08473782777347
Diego Carlos Santos Silva,Aston Villa,29,83,83,30500000.0,105000.0,52.333333333333336,1.0,2.721311475409836e-06,Good,82.76035391729638
José Ángel Esmoris Tasende,TSG Hoffenheim,25,83,85,42000000.0,64000.0,76.33333333333333,0.976470588235294,1.976190476190476e-06,Good,82.63064523198906
Ousmane Dembélé,FC Barcelona,25,83,86,48000000.0,180000.0,78.33333333333333,0.9651162790697676,1.7291666666666667e-06,Good,83.7018301075887
Marco Asensio Willemsen,Real Madrid CF,26,83,84,43000000.0,200000.0,81.33333333333333,0.988095238095238,1.930232558139535e-06,Good,83.6529890490277
Rúben Diogo da Silva Neves,Wolverhampton Wanderers,25,83,86,47500000.0,105000.0,70.66666666666667,0.9651162790697676,1.7473684210526316e-06,Good,83.09298378547439
Mikel Merino Zazón,Real Sociedad,26,83,86,47000000.0,49000.0,80.33333333333333,0.9651162790697676,1.7659574468085106e-06,Good,82.59355384750776
Konrad Laimer,RB Leipzig,25,83,84,38500000.0,64000.0,71.33333333333333,0.988095238095238,2.155844155844156e-06,Good,82.55039978759456
Presnel Kimpembe,Paris Saint-Germain,26,83,86,42000000.0,95000.0,50.0,0.9651162790697676,1.976190476190476e-06,Good,83.00716094938764
Fabián Ruiz Peña,Paris Saint-Germain,26,83,85,44500000.0,105000.0,79.0,0.976470588235294,1.8651685393258424e-06,Good,82.95377883760185
Ferland Mendy,Real Madrid CF,27,83,84,38000000.0,170000.0,70.66666666666667,0.988095238095238,2.1842105263157896e-06,Good,83.38718433121252
Ronaldo Jailson Cabrais Petri,Palmeiras,30,83,83,35000000.0,59000.0,79.33333333333333,1.0,2.3714285714285714e-06,Good,82.33127398021551
Gabriel Fernando de Jesus,Arsenal,25,83,86,48500000.0,115000.0,84.33333333333333,0.9651162790697676,1.7113402061855671e-06,Good,83.15652119108748
Unai Simón Mendibil,Athletic Club de Bilbao,25,83,86,37000000.0,30000.0,28.666666666666668,0.9651162790697676,2.243243243243243e-06,Good,82.50816141548611
Victor Osimhen,Napoli,23,83,89,58000000.0,72000.0,84.0,0.9325842696629212,1.4310344827586208e-06,Good,83.27126387726449
Pierre-Emile Højbjerg,Tottenham Hotspur,26,83,85,40500000.0,110000.0,73.66666666666667,0.976470588235294,2.0493827160493827e-06,Good,82.99100207930181
Cristian Romero,Tottenham Hotspur,24,83,88,49500000.0,95000.0,47.333333333333336,0.9431818181818182,1.6767676767676768e-06,Good,83.32335984737304
Raphael Dias Belloli,FC Barcelona,25,83,86,48000000.0,180000.0,80.66666666666667,0.9651162790697676,1.7291666666666667e-06,Good,83.69802364292443
Carlos Soler Barragán,Paris Saint-Germain,25,83,88,53000000.0,100000.0,77.66666666666667,0.9431818181818182,1.5660377358490566e-06,Good,83.3070762811162
Gregor Kobel,Borussia Dortmund,24,83,88,44000000.0,40000.0,25.33333333333333,0.9431818181818182,1.8863636363636364e-06,Good,82.88717110022182
Pau Francisco Torres,Villarreal CF,25,83,89,50500000.0,43000.0,42.66666666666666,0.9325842696629212,1.6435643564356436e-06,Good,83.03644263431426
Cody Gakpo,PSV,23,83,87,52000000.0,29000.0,83.0,0.9540229885057472,1.596153846153846e-06,Good,82.61339002672784
Ronald Araujo,FC Barcelona,23,83,89,52000000.0,135000.0,57.66666666666666,0.9325842696629212,1.596153846153846e-06,Good,83.8156246398772
Duván Zapata,Atalanta,31,83,83,30500000.0,77000.0,86.33333333333333,1.0,2.721311475409836e-06,Good,82.4348907228636
Ángel Correa,Atlético de Madrid,27,83,84,42500000.0,80000.0,85.0,0.988095238095238,1.952941176470588e-06,Good,82.63449041245053
José María Giménez,Atlético de Madrid,27,83,85,38500000.0,68000.0,45.0,0.976470588235294,2.155844155844156e-06,Good,82.6649965136817
Thomas Lemar,Atlético de Madrid,26,83,86,47000000.0,74000.0,79.0,0.9651162790697676,1.7659574468085106e-06,Good,82.80231363837791
Gleison Bremer Silva Nascimento,Juventus,25,83,87,45500000.0,115000.0,58.333333333333336,0.9540229885057472,1.824175824175824e-06,Good,83.30486776985413
Juan Cuadrado,Juventus,34,83,83,13500000.0,120000.0,76.33333333333333,1.0,6.148148148148148e-06,Good,82.69422038898924
Piotr Zieliński,Napoli,28,83,83,36500000.0,78000.0,78.0,1.0,2.273972602739726e-06,Good,82.53387400727033
Jesús Navas González,Sevilla FC,36,83,83,8000000.0,28000.0,72.66666666666667,1.0,1.0375e-05,Good,81.8837556581689
Gerard Piqué Bernabeu,FC Barcelona,35,83,83,9500000.0,110000.0,64.33333333333333,1.0,8.736842105263158e-06,Good,82.59905707405383
Kasper Schmeichel,OGC Nice,35,83,83,4000000.0,31000.0,28.0,1.0,2.075e-05,Good,81.98792961407807
Jordan Henderson,Liverpool,32,83,83,28500000.0,135000.0,76.0,1.0,2.912280701754386e-06,Good,82.9053158934149
Fernando Reges Mouta,Sevilla FC,34,83,83,12500000.0,39000.0,64.0,1.0,6.64e-06,Good,82.04180740300907
Lukáš Hrádecký,Bayer 04 Leverkusen,32,83,83,18000000.0,55000.0,24.0,1.0,4.611111111111111e-06,Good,82.29549000977548
David Josué Jiménez Silva,Real Sociedad,36,83,83,12000000.0,37000.0,75.33333333333333,1.0,6.916666666666667e-06,Good,81.9665700759943
Oliver Baumann,TSG Hoffenheim,32,83,83,18000000.0,40000.0,26.666666666666668,1.0,4.611111111111111e-06,Good,82.16718896352197
Antoine Griezmann,Atlético de Madrid,31,83,83,30500000.0,185000.0,84.0,1.0,2.721311475409836e-06,Good,83.33114295417286
Luis Alberto Romero Alconchel,Lazio,29,83,83,35500000.0,74000.0,76.33333333333333,1.0,2.3380281690140844e-06,Good,82.48102944899964
Roberto Firmino Barbosa de Oliveira,Liverpool,30,83,83,35500000.0,150000.0,78.33333333333333,1.0,2.3380281690140844e-06,Good,83.08647278730544
John Stones,Manchester City,28,83,84,34500000.0,150000.0,53.0,0.988095238095238,2.4057971014492755e-06,Good,83.22023069314807
Hakim Ziyech,Chelsea,29,83,83,35500000.0,155000.0,79.0,1.0,2.3380281690140844e-06,Good,83.14601352865273
Jorge Resurrección,Atlético de Madrid,30,83,83,34500000.0,74000.0,75.33333333333333,1.0,2.4057971014492755e-06,Good,82.46015087630906
Ricardo Barbosa Pereira,Leicester City,28,83,83,33000000.0,105000.0,72.33333333333333,1.0,2.515151515151515e-06,Good,82.75503481048216
