Name,Club,Age,Overall,Potential,Value,Wage,Attack Score,Efficiency,Value Efficiency,Player Level
Ciro Immobile,Lazio,32,86,86,55000000.0,100000.0,89.0,1.0,1.5636363636363636e-06,Elite
Romelu Lukaku,Inter,29,86,86,68000000.0,200000.0,87.0,1.0,1.2647058823529412e-06,Elite
David Alaba,Real Madrid CF,30,86,86,55500000.0,220000.0,72.66666666666667,1.0,1.5495495495495495e-06,Elite
Raheem Sterling,Chelsea,27,86,86,72500000.0,195000.0,83.66666666666667,1.0,1.1862068965517242e-06,Elite
Riyad Mahrez,Manchester City,31,86,86,56500000.0,220000.0,83.66666666666667,1.0,1.5221238938053098e-06,Elite
Paulo Dybala,Roma,28,86,86,69500000.0,130000.0,83.0,1.0,1.2374100719424461e-06,Elite
Thiago Emiliano da Silva,Chelsea,37,86,86,12000000.0,115000.0,56.666666666666664,1.0,7.166666666666667e-06,Elite
Wojciech Szczęsny,Juventus,32,86,86,33500000.0,125000.0,27.0,1.0,2.5671641791044776e-06,Elite
Kevin Trapp,Eintracht Frankfurt,31,86,86,36000000.0,43000.0,28.0,1.0,2.3888888888888887e-06,Elite
Bruno Miguel Borges Fernandes,Manchester United,27,86,86,72500000.0,190000.0,85.66666666666667,1.0,1.1862068965517242e-06,Elite
Daniel Parejo Muñoz,Villarreal CF,33,86,86,42000000.0,64000.0,81.66666666666667,1.0,2.0476190476190475e-06,Elite
Aymeric Laporte,Manchester City,28,86,87,64500000.0,195000.0,55.666666666666664,0.9885057471264368,1.3333333333333334e-06,Elite
Kingsley Coman,FC Bayern München,26,86,87,80000000.0,105000.0,81.0,0.9885057471264368,1.075e-06,Elite
Marcelo Brozović,Inter,29,86,86,58000000.0,110000.0,72.0,1.0,1.4827586206896551e-06,Elite
Nicolò Barella,Inter,25,86,89,89500000.0,110000.0,77.0,0.9662921348314607,9.608938547486034e-07,Elite
Lautaro Martínez,Inter,24,86,90,98500000.0,110000.0,84.66666666666667,0.9555555555555556,8.730964467005077e-07,Elite
Milan Škriniar,Inter,27,86,87,68500000.0,105000.0,40.666666666666664,0.9885057471264368,1.2554744525547445e-06,Elite
Christopher Nkunku,RB Leipzig,24,86,89,94000000.0,90000.0,83.66666666666667,0.9662921348314607,9.148936170212766e-07,Elite
Édouard Mendy,Chelsea,30,86,87,51000000.0,130000.0,24.0,0.9885057471264368,1.6862745098039215e-06,Elite
Vinícius José de Oliveira Júnior,Real Madrid CF,21,86,92,109000000.0,200000.0,80.66666666666667,0.9347826086956522,7.889908256880734e-07,Elite
Sergej Milinković-Savić,Lazio,27,86,87,77500000.0,90000.0,82.33333333333333,0.9885057471264368,1.1096774193548387e-06,Elite
Niklas Süle,Borussia Dortmund,26,85,87,59000000.0,72000.0,50.0,0.9770114942528736,1.440677966101695e-06,Elite
Nabil Fekir,Real Betis Balompié,28,85,85,54500000.0,48000.0,83.0,1.0,1.5596330275229358e-06,Elite
Serge Gnabry,FC Bayern München,26,85,85,59000000.0,100000.0,86.33333333333333,1.0,1.440677966101695e-06,Elite
İlkay Gündoğan,Manchester City,31,85,85,44000000.0,185000.0,81.0,1.0,1.931818181818182e-06,Elite
Kyle Walker,Manchester City,32,85,85,37500000.0,170000.0,68.33333333333333,1.0,2.266666666666667e-06,Elite
Pierre-Emerick Aubameyang,Chelsea,33,85,85,34500000.0,180000.0,85.66666666666667,1.0,2.463768115942029e-06,Elite
Jordi Alba Ramos,FC Barcelona,33,85,85,28000000.0,190000.0,73.33333333333333,1.0,3.0357142857142856e-06,Elite
Sergio Busquets Burgos,FC Barcelona,33,85,85,26500000.0,190000.0,68.0,1.0,3.207547169811321e-06,Elite
Iago Aspas Juncal,RC Celta de Vigo,34,85,85,26000000.0,50000.0,85.0,1.0,3.269230769230769e-06,Elite
Paul Pogba,Juventus,29,85,85,52500000.0,165000.0,80.33333333333333,1.0,1.619047619047619e-06,Elite
Memphis Depay,FC Barcelona,28,85,85,55000000.0,230000.0,85.33333333333333,1.0,1.5454545454545454e-06,Elite
Luiz Frello Filho Jorge,Chelsea,30,85,85,51500000.0,165000.0,68.0,1.0,1.6504854368932039e-06,Elite
Marcos Acuña,Sevilla FC,30,85,85,46500000.0,46000.0,76.33333333333333,1.0,1.8279569892473119e-06,Elite
Gerard Moreno Balagueró,Villarreal CF,30,85,85,53000000.0,64000.0,85.66666666666667,1.0,1.6037735849056604e-06,Elite
Yannick Carrasco,Atlético de Madrid,28,85,85,54500000.0,90000.0,82.66666666666667,1.0,1.5596330275229358e-06,Elite
Filip Kostić,Juventus,29,85,85,53000000.0,165000.0,80.33333333333333,1.0,1.6037735849056604e-06,Elite
Jamie Vardy,Leicester City,35,85,85,23000000.0,110000.0,89.0,1.0,3.6956521739130436e-06,Elite
Pedro González López,FC Barcelona,19,85,93,116000000.0,115000.0,70.33333333333333,0.9139784946236559,7.327586206896552e-07,Elite
Phil Foden,Manchester City,22,85,92,109500000.0,180000.0,81.0,0.9239130434782609,7.762557077625571e-07,Elite
Matthijs de Ligt,FC Bayern München,22,85,89,71000000.0,77000.0,58.666666666666664,0.9550561797752809,1.1971830985915492e-06,Elite
Patrik Schick,Bayer 04 Leverkusen,26,85,87,67500000.0,95000.0,85.0,0.9770114942528736,1.2592592592592593e-06,Elite
Theo Hernández,AC Milan,24,85,90,76000000.0,82000.0,77.33333333333333,0.9444444444444444,1.118421052631579e-06,Elite
Diogo José Teixeira da Silva,Liverpool,25,85,89,76000000.0,170000.0,86.66666666666667,0.9550561797752809,1.118421052631579e-06,Elite
Péter Gulácsi,RB Leipzig,32,85,85,26500000.0,65000.0,26.0,1.0,3.207547169811321e-06,Elite
Yann Sommer,Borussia Mönchengladbach,33,85,85,17500000.0,40000.0,30.0,1.0,4.857142857142857e-06,Elite
Marco Reus,Borussia Dortmund,33,85,85,33500000.0,78000.0,84.66666666666667,1.0,2.537313432835821e-06,Elite
Lucas Hernández,FC Bayern München,26,84,86,46000000.0,82000.0,59.0,0.9767441860465116,1.8260869565217391e-06,Good
Sergio Ramos García,Paris Saint-Germain,36,84,84,7500000.0,75000.0,71.0,1.0,1.12e-05,Good
Alejandro Gómez,Sevilla FC,34,84,84,20000000.0,47000.0,78.0,1.0,4.2e-06,Good
Samir Handanovič,Inter,37,84,84,4700000.0,46000.0,23.666666666666668,1.0,1.7872340425531915e-05,Good
Dries Mertens,Galatasaray SK,35,84,84,18000000.0,86000.0,82.0,1.0,4.666666666666666e-06,Good
Luis Suárez,Club Nacional de Football,35,84,84,18000000.0,1000.0,87.66666666666667,1.0,4.666666666666666e-06,Good
Dušan Tadić,Ajax,33,84,84,26500000.0,32000.0,82.33333333333333,1.0,3.169811320754717e-06,Good
Domenico Berardi,U.S. Sassuolo Calcio,27,84,84,45000000.0,57000.0,82.33333333333333,1.0,1.8666666666666667e-06,Good
Thomas Partey,Arsenal,29,84,84,36000000.0,115000.0,74.0,1.0,2.333333333333333e-06,Good
Yassine Bounou,Sevilla FC,31,84,84,22500000.0,34000.0,27.0,1.0,3.7333333333333333e-06,Good
Hakan Çalhanoğlu,Inter,28,84,84,42000000.0,100000.0,79.66666666666667,1.0,2e-06,Good
Mateo Kovačić,Chelsea,28,84,84,42000000.0,155000.0,71.0,1.0,2e-06,Good
Jack Grealish,Manchester City,26,84,84,46000000.0,185000.0,77.66666666666667,1.0,1.8260869565217391e-06,Good
Daniel Carvajal Ramos,Real Madrid CF,30,84,84,36500000.0,185000.0,64.66666666666667,1.0,2.301369863013699e-06,Good
Stefan Savić,Atlético de Madrid,31,84,84,29000000.0,74000.0,35.333333333333336,1.0,2.896551724137931e-06,Good
Emiliano Martínez,Aston Villa,29,84,84,29000000.0,95000.0,30.0,1.0,2.896551724137931e-06,Good
Raphaël Varane,Manchester United,29,84,85,39000000.0,155000.0,51.0,0.9882352941176471,2.1538461538461538e-06,Good
Wissam Ben Yedder,AS Monaco,31,84,84,35500000.0,88000.0,86.66666666666667,1.0,2.3661971830985916e-06,Good
Lorenzo Insigne,Toronto FC,31,84,84,35000000.0,19000.0,77.33333333333333,1.0,2.4e-06,Good
Mats Hummels,Borussia Dortmund,33,84,84,20000000.0,66000.0,61.666666666666664,1.0,4.2e-06,Good
Stefan de Vrij,Inter,30,84,84,34500000.0,88000.0,40.333333333333336,1.0,2.434782608695652e-06,Good
Joel Matip,Liverpool,30,84,84,34500000.0,140000.0,50.0,1.0,2.434782608695652e-06,Good
Koen Casteels,VfL Wolfsburg,30,84,85,31500000.0,55000.0,29.666666666666668,0.9882352941176471,2.666666666666667e-06,Good
Sergio Canales Madrazo,Real Betis Balompié,31,84,84,35000000.0,42000.0,80.0,1.0,2.4e-06,Good
Iker Muniain Goñi,Athletic Club de Bilbao,29,84,84,41500000.0,49000.0,78.0,1.0,2.0240963855421686e-06,Good
Kieran Trippier,Newcastle United,31,84,84,30500000.0,120000.0,69.66666666666667,1.0,2.7540983606557378e-06,Good
Leonardo Bonucci,Juventus,35,84,84,11000000.0,95000.0,54.0,1.0,7.636363636363636e-06,Good
Ángel Di María,Juventus,34,84,84,20000000.0,160000.0,80.33333333333333,1.0,4.2e-06,Good
Eden Hazard,Real Madrid CF,31,84,84,35000000.0,220000.0,81.0,1.0,2.4e-06,Good
Ivan Perišić,Tottenham Hotspur,33,84,84,26500000.0,130000.0,83.0,1.0,3.169811320754717e-06,Good
Edin Džeko,Inter,36,84,84,14500000.0,80000.0,87.66666666666667,1.0,5.793103448275862e-06,Good
Giorgio Chiellini,Los Angeles FC,37,84,84,7500000.0,11000.0,46.333333333333336,1.0,1.12e-05,Good
Rodrigo Javier De Paul,Atlético de Madrid,28,84,84,42000000.0,85000.0,78.0,1.0,2e-06,Good
Jude Bellingham,Borussia Dortmund,19,84,91,81500000.0,41000.0,77.33333333333333,0.9230769230769231,1.030674846625767e-06,Good
Federico Chiesa,Juventus,24,84,90,66500000.0,140000.0,83.33333333333333,0.9333333333333333,1.2631578947368422e-06,Good
Moussa Diaby,Bayer 04 Leverkusen,22,84,88,61500000.0,70000.0,77.33333333333333,0.9545454545454546,1.3658536585365854e-06,Good
Jamie Tartt,AFC Richmond,24,84,91,85500000.0,78000.0,86.66666666666667,0.9230769230769231,9.82456140350877e-07,Good
Rafael da Conceição Leão,AC Milan,23,84,90,66500000.0,90000.0,80.66666666666667,0.9333333333333333,1.2631578947368422e-06,Good
Jules Koundé,FC Barcelona,23,84,89,57500000.0,150000.0,47.333333333333336,0.9438202247191011,1.4608695652173913e-06,Good
Youri Tielemans,Leicester City,25,84,86,52500000.0,115000.0,80.33333333333333,0.9767441860465116,1.6e-06,Good
Sandro Tonali,AC Milan,22,84,90,62500000.0,75000.0,74.33333333333333,0.9333333333333333,1.344e-06,Good
Luis Díaz,Liverpool,25,84,87,56000000.0,155000.0,81.66666666666667,0.9655172413793104,1.5e-06,Good
Éder Gabriel Militão,Real Madrid CF,24,84,89,57500000.0,160000.0,58.0,0.9438202247191011,1.4608695652173913e-06,Good
Federico Valverde,Real Madrid CF,23,84,90,66000000.0,175000.0,76.66666666666667,0.9333333333333333,1.2727272727272728e-06,Good
Leroy Sané,FC Bayern München,26,84,85,49500000.0,90000.0,82.33333333333333,0.9882352941176471,1.696969696969697e-06,Good
Reece James,Chelsea,22,84,88,57000000.0,120000.0,75.33333333333333,0.9545454545454546,1.4736842105263159e-06,Good
Alessandro Bastoni,Inter,23,84,90,60500000.0,75000.0,38.0,0.9333333333333333,1.3884297520661156e-06,Good
Kai Havertz,Chelsea,23,84,91,84500000.0,130000.0,79.0,0.9230769230769231,9.940828402366864e-07,Good
João Félix Sequeira,Atlético de Madrid,22,84,90,68500000.0,78000.0,81.33333333333333,0.9333333333333333,1.2262773722627736e-06,Good
Achraf Hakimi,Paris Saint-Germain,23,84,87,53500000.0,90000.0,77.66666666666667,0.9655172413793104,1.5700934579439251e-06,Good
Alphonso Davies,FC Bayern München,21,84,89,60500000.0,59000.0,71.66666666666667,0.9438202247191011,1.3884297520661156e-06,Good
Declan Rice,West Ham United,23,84,87,52000000.0,83000.0,64.33333333333333,0.9655172413793104,1.6153846153846154e-06,Good
Mason Mount,Chelsea,23,84,87,57500000.0,130000.0,81.33333333333333,0.9655172413793104,1.4608695652173913e-06,Good
Jadon Sancho,Manchester United,22,84,88,61500000.0,155000.0,76.33333333333333,0.9545454545454546,1.3658536585365854e-06,Good
Fikayo Tomori,AC Milan,24,84,90,60500000.0,75000.0,42.0,0.9333333333333333,1.3884297520661156e-06,Good
Franck Yannick Kessié,FC Barcelona,25,84,86,47500000.0,165000.0,77.0,0.9767441860465116,1.768421052631579e-06,Good
Mikel Oyarzabal Ugarte,Real Sociedad,25,84,86,53000000.0,57000.0,83.33333333333333,0.9767441860465116,1.5849056603773585e-06,Good
Lorenzo Pellegrini,Roma,26,84,87,55000000.0,95000.0,78.66666666666667,0.9655172413793104,1.5272727272727273e-06,Good
Wilfred Ndidi,Leicester City,25,84,86,47500000.0,105000.0,64.66666666666667,0.9767441860465116,1.768421052631579e-06,Good
Marcos Llorente Moreno,Atlético de Madrid,27,84,85,48000000.0,81000.0,82.66666666666667,0.9882352941176471,1.75e-06,Good
Martin Ødegaard,Arsenal,23,84,89,63500000.0,105000.0,76.66666666666667,0.9438202247191011,1.3228346456692914e-06,Good
Dušan Vlahović,Juventus,22,84,91,86500000.0,140000.0,86.66666666666667,0.9230769230769231,9.710982658959538e-07,Good
Diego Carlos Santos Silva,Aston Villa,29,83,83,30500000.0,105000.0,52.333333333333336,1.0,2.721311475409836e-06,Good
José Ángel Esmoris Tasende,TSG Hoffenheim,25,83,85,42000000.0,64000.0,76.33333333333333,0.9764705882352941,1.976190476190476e-06,Good
Ousmane Dembélé,FC Barcelona,25,83,86,48000000.0,180000.0,78.33333333333333,0.9651162790697675,1.7291666666666667e-06,Good
Marco Asensio Willemsen,Real Madrid CF,26,83,84,43000000.0,200000.0,81.33333333333333,0.9880952380952381,1.930232558139535e-06,Good
Rúben Diogo da Silva Neves,Wolverhampton Wanderers,25,83,86,47500000.0,105000.0,70.66666666666667,0.9651162790697675,1.7473684210526316e-06,Good
Mikel Merino Zazón,Real Sociedad,26,83,86,47000000.0,49000.0,80.33333333333333,0.9651162790697675,1.7659574468085106e-06,Good
Konrad Laimer,RB Leipzig,25,83,84,38500000.0,64000.0,71.33333333333333,0.9880952380952381,2.155844155844156e-06,Good
Presnel Kimpembe,Paris Saint-Germain,26,83,86,42000000.0,95000.0,50.0,0.9651162790697675,1.976190476190476e-06,Good
Fabián Ruiz Peña,Paris Saint-Germain,26,83,85,44500000.0,105000.0,79.0,0.9764705882352941,1.8651685393258426e-06,Good
Ferland Mendy,Real Madrid CF,27,83,84,38000000.0,170000.0,70.66666666666667,0.9880952380952381,2.1842105263157896e-06,Good
Ronaldo Jailson Cabrais Petri,Palmeiras,30,83,83,35000000.0,59000.0,79.33333333333333,1.0,2.3714285714285714e-06,Good
Gabriel Fernando de Jesus,Arsenal,25,83,86,48500000.0,115000.0,84.33333333333333,0.9651162790697675,1.7113402061855671e-06,Good
Unai Simón Mendibil,Athletic Club de Bilbao,25,83,86,37000000.0,30000.0,28.666666666666668,0.9651162790697675,2.243243243243243e-06,Good
Victor Osimhen,Napoli,23,83,89,58000000.0,72000.0,84.0,0.9325842696629213,1.4310344827586208e-06,Good
Pierre-Emile Højbjerg,Tottenham Hotspur,26,83,85,40500000.0,110000.0,73.66666666666667,0.9764705882352941,2.0493827160493827e-06,Good
Cristian Romero,Tottenham Hotspur,24,83,88,49500000.0,95000.0,47.333333333333336,0.9431818181818182,1.6767676767676768e-06,Good
Raphael Dias Belloli,FC Barcelona,25,83,86,48000000.0,180000.0,80.66666666666667,0.9651162790697675,1.7291666666666667e-06,Good
Carlos Soler Barragán,Paris Saint-Germain,25,83,88,53000000.0,100000.0,77.66666666666667,0.9431818181818182,1.5660377358490566e-06,Good
Gregor Kobel,Borussia Dortmund,24,83,88,44000000.0,40000.0,25.333333333333332,0.9431818181818182,1.8863636363636364e-06,Good
Pau Francisco Torres,Villarreal CF,25,83,89,50500000.0,43000.0,42.666666666666664,0.9325842696629213,1.6435643564356436e-06,Good
Cody Gakpo,PSV,23,83,87,52000000.0,29000.0,83.0,0.9540229885057471,1.596153846153846e-06,Good
Ronald Araujo,FC Barcelona,23,83,89,52000000.0,135000.0,57.666666666666664,0.9325842696629213,1.596153846153846e-06,Good
Duván Zapata,Atalanta,31,83,83,30500000.0,77000.0,86.33333333333333,1.0,2.721311475409836e-06,Good
Ángel Correa,Atlético de Madrid,27,83,84,42500000.0,80000.0,85.0,0.9880952380952381,1.952941176470588e-06,Good
José María Giménez,Atlético de Madrid,27,83,85,38500000.0,68000.0,45.0,0.9764705882352941,2.155844155844156e-06,Good
Thomas Lemar,Atlético de Madrid,26,83,86,47000000.0,74000.0,79.0,0.9651162790697675,1.7659574468085106e-06,Good
Gleison Bremer Silva Nascimento,Juventus,25,83,87,45500000.0,115000.0,58.333333333333336,0.9540229885057471,1.8241758241758241e-06,Good
Juan Cuadrado,Juventus,34,83,83,13500000.0,120000.0,76.33333333333333,1.0,6.148148148148148e-06,Good
Piotr Zieliński,Napoli,28,83,83,36500000.0,78000.0,78.0,1.0,2.273972602739726e-06,Good
Jesús Navas González,Sevilla FC,36,83,83,8000000.0,28000.0,72.66666666666667,1.0,1.0375e-05,Good
Gerard Piqué Bernabeu,FC Barcelona,35,83,83,9500000.0,110000.0,64.33333333333333,1.0,8.736842105263158e-06,Good
Kasper Schmeichel,OGC Nice,35,83,83,4000000.0,31000.0,28.0,1.0,2.075e-05,Good
Jordan Henderson,Liverpool,32,83,83,28500000.0,135000.0,76.0,1.0,2.912280701754386e-06,Good
Fernando Reges Mouta,Sevilla FC,34,83,83,12500000.0,39000.0,64.0,1.0,6.64e-06,Good
Lukáš Hrádecký,Bayer 04 Leverkusen,32,83,83,18000000.0,55000.0,24.0,1.0,4.611111111111111e-06,Good
David Josué Jiménez Silva,Real Sociedad,36,83,83,12000000.0,37000.0,75.33333333333333,1.0,6.916666666666667e-06,Good
Oliver Baumann,TSG Hoffenheim,32,83,83,18000000.0,40000.0,26.666666666666668,1.0,4.611111111111111e-06,Good
Antoine Griezmann,Atlético de Madrid,31,83,83,30500000.0,185000.0,84.0,1.0,2.721311475409836e-06,Good
Luis Alberto Romero Alconchel,Lazio,29,83,83,35500000.0,74000.0,76.33333333333333,1.0,2.3380281690140844e-06,Good
Roberto Firmino Barbosa de Oliveira,Liverpool,30,83,83,35500000.0,150000.0,78.33333333333333,1.0,2.3380281690140844e-06,Good
John Stones,Manchester City,28,83,84,34500000.0,150000.0,53.0,0.9880952380952381,2.4057971014492755e-06,Good
Hakim Ziyech,Chelsea,29,83,83,35500000.0,155000.0,79.0,1.0,2.3380281690140844e-06,Good
Jorge Resurrección,Atlético de Madrid,30,83,83,34500000.0,74000.0,75.33333333333333,1.0,2.4057971014492755e-06,Good
Ricardo Barbosa Pereira,Leicester City,28,83,83,33000000.0,105000.0,72.33333333333333,1.0,2.515151515151515e-06,Good
James Maddison,Leicester City,25,82,84,38000000.0,100000.0,80.0,0.9761904761904762,2.1578947368421054e-06,Good
Gerónimo Rulli,Villarreal CF,30,82,82,20500000.0,34000.0,29.0,1.0,4e-06,Good
Andrej Kramarić,TSG Hoffenheim,31,82,82,25500000.0,54000.0,81.0,1.0,3.215686274509804e-06,Good
Rafael A. Ferreira Silva,SL Benfica,29,82,82,30000000.0,24000.0,76.33333333333333,1.0,2.733333333333333e-06,Good
Giovanni Di Lorenzo,Napoli,28,82,82,27500000.0,66000.0,68.66666666666667,1.0,2.981818181818182e-06,Good
David Soria Solís,Getafe CF,29,82,82,21000000.0,32000.0,28.666666666666668,1.0,3.904761904761905e-06,Good
Manuel Locatelli,Juventus,24,82,86,40000000.0,37000.0,73.0,0.9534883720930233,2.05e-06,Good
Robin Gosens,Inter,27,82,82,29500000.0,59000.0,80.33333333333333,1.0,2.7796610169491524e-06,Good
Gonçalo Manuel Ganchinho Guedes,Wolverhampton Wanderers,25,82,85,41000000.0,105000.0,82.66666666666667,0.9647058823529412,2e-06,Good
Jonathan Tah,Bayer 04 Leverkusen,26,82,84,33500000.0,62000.0,41.666666666666664,0.9761904761904762,2.447761194029851e-06,Good
Andreas Christensen,FC Barcelona,26,82,86,37500000.0,145000.0,35.0,0.9534883720930233,2.1866666666666668e-06,Good
Emre Can,Borussia Dortmund,28,82,82,30500000.0,63000.0,78.33333333333333,1.0,2.6885245901639346e-06,Good
Anderson Souza Conceição,Al Nassr,28,82,82,31000000.0,64000.0,82.66666666666667,1.0,2.6451612903225807e-06,Good
Julian Brandt,Borussia Dortmund,26,82,85,40000000.0,60000.0,79.66666666666667,0.9647058823529412,2.05e-06,Good
Timo Werner,RB Leipzig,26,82,84,38000000.0,73000.0,83.33333333333333,0.9761904761904762,2.1578947368421054e-06,Good
José Luís Gayà Peña,Valencia CF,27,82,83,32000000.0,44000.0,66.0,0.9879518072289156,2.5625e-06,Good
Otávio Edmilson da Silva Monteiro,FC Porto,27,82,82,32500000.0,21000.0,72.33333333333333,1.0,2.523076923076923e-06,Good
Alejandro Grimaldo García,SL Benfica,26,82,83,33000000.0,19000.0,69.33333333333333,0.9879518072289156,2.4848484848484848e-06,Good
Raphaël Guerreiro,Borussia Dortmund,28,82,82,27500000.0,57000.0,78.0,1.0,2.981818181818182e-06,Good
André Onana,Inter,26,82,85,30500000.0,59000.0,29.333333333333332,0.9647058823529412,2.6885245901639346e-06,Good
Matthias Ginter,Sport-Club Freiburg,28,82,83,29000000.0,40000.0,63.0,0.9879518072289156,2.8275862068965517e-06,Good
Sébastien Haller,Borussia Dortmund,28,82,82,31000000.0,68000.0,84.33333333333333,1.0,2.6451612903225807e-06,Good
Aritz Elustondo,Real Sociedad,28,82,83,29000000.0,43000.0,39.0,0.9879518072289156,2.8275862068965517e-06,Good
Tammy Abraham,Roma,24,82,85,42000000.0,77000.0,82.66666666666667,0.9647058823529412,1.9523809523809523e-06,Good
Ismaël Bennacer,AC Milan,24,82,86,40000000.0,63000.0,68.0,0.9534883720930233,2.05e-06,Good
